product_id,product_name,category,cost_price,selling_price,supplier_id
142,Dream Plus,Fitness,98.14,88.01,9
143,Third Max,Home & Kitchen,19.55,148.04,9
144,Hotel Pro,Fitness,26.77,194.36,2
145,Story Max,Fitness,32.4,154.15,12
146,Name Standard,Fitness,58.47,58.8,5
147,Above Standard,Home & Kitchen,17.92,59.94,10
148,Power Standard,Fitness,99.29,187.37,17
149,Arrive Standard,Home & Kitchen,80.18,169.25,16
150,Interview Max,Accessories,59.3,63.2,13
151,Stuff Pro,Office Supplies,91.88,126.07,5
152,Chance Pro,Accessories,31.1,174.44,16
153,Idea Pro,Home & Kitchen,40.92,65.91,17
154,Cup Standard,Home & Kitchen,91.55,176.06,11
155,Color Pro,Fitness,25.15,90.3,20
156,Air Pro,Home & Kitchen,33.5,18.92,18
157,Rich Standard,Office Supplies,89.27,120.0,17
158,Already Standard,Accessories,73.42,26.17,2
159,Sense Pro,Fitness,44.94,69.18,19
160,In Plus,Home & Kitchen,9.35,114.68,11
161,Trade Plus,Accessories,7.44,96.66,8
162,Statement Max,Fitness,55.6,102.77,16
163,Will Standard,Office Supplies,44.86,14.18,18
164,Walk Standard,Accessories,12.38,198.89,11
165,Way Pro,Electronics,94.2,32.02,4
166,Democratic Pro,Home & Kitchen,84.56,52.0,6
167,Recent Max,Fitness,83.48,46.55,2
168,Director Max,Fitness,78.63,60.27,20
169,Report Pro,Office Supplies,40.74,34.89,9
170,Knowledge Plus,Accessories,86.15,129.07,5
171,Light Max,Accessories,10.14,56.43,12
172,Coach Standard,Fitness,91.33,13.45,4
173,Center Plus,Home & Kitchen,92.58,178.73,18
174,Fish Max,Office Supplies,8.19,78.78,13
175,Interesting Max,Office Supplies,12.32,130.49,7
176,Economic Standard,Home & Kitchen,42.51,148.92,2
177,Seat Pro,Electronics,50.96,177.71,8
178,Explain Max,Electronics,77.27,46.67,17
179,Particular Standard,Office Supplies,33.16,50.34,10
180,Establish Pro,Fitness,48.56,153.93,10
181,Provide Max,Electronics,62.82,57.65,10
182,Who Plus,Office Supplies,22.51,137.19,3
183,Chair Standard,Electronics,37.11,57.96,4
184,Already Plus,Fitness,20.29,63.57,7
185,Production Plus,Fitness,24.83,174.31,3
186,Experience Max,Electronics,33.17,148.1,9
187,Order Plus,Electronics,67.78,41.75,3
188,Blue Plus,Fitness,44.59,114.41,18
189,Friend Standard,Fitness,90.01,29.27,13
190,Easy Plus,Fitness,43.21,106.52,6
191,Then Max,Office Supplies,45.9,180.56,14
192,Point Plus,Accessories,11.47,172.55,17
193,Dream Standard,Home & Kitchen,39.42,91.24,3
194,Enjoy Plus,Home & Kitchen,60.0,51.69,16
195,Data Plus,Electronics,54.85,51.2,17
196,Best Plus,Electronics,41.16,76.39,7
197,Again Max,Fitness,54.83,40.29,9
198,Well Standard,Office Supplies,60.29,56.81,14
199,Next Max,Accessories,16.66,67.99,20
200,For Standard,Office Supplies,11.83,102.06,12
