purchase_order_id,supplier_id,product_id,order_date,expected_delivery_date,actual_delivery_date,quantity_ordered,purchase_order_status,unit_cost
89,164,969,2017-06-13,2017-06-29,2017-07-02,905,Received,12.54
90,114,533,2017-01-04,2017-02-07,2017-02-12,1280,Received,78.54
91,222,382,2017-08-20,2017-09-15,2017-09-23,1164,Received,153.13
92,187,329,2022-10-25,2022-11-20,2022-11-18,776,Received,194.2
93,146,1850,2024-06-17,2024-07-21,NULL,715,Ordered,35.53
94,140,1232,2020-10-05,2020-11-07,NULL,1411,Ordered,17.47
95,39,1913,2017-03-05,2017-03-27,2017-04-03,793,Received,15.63
96,220,728,2020-05-10,2020-06-04,2020-06-05,953,Received,76.99
97,233,1505,2026-07-02,2026-07-16,2026-07-16,2575,Received,37.94
98,14,513,2021-10-30,2021-12-03,2021-12-07,623,Received,69.56
99,204,120,2026-04-02,2026-05-16,NULL,853,Ordered,11.63
100,37,109,2025-02-23,2025-03-19,NULL,1459,Ordered,58.68
101,210,880,2016-08-26,2016-09-30,2016-10-09,417,Received,22.55
102,63,63,2023-09-30,2023-10-28,NULL,389,Pending,33.82
103,133,1687,2023-05-11,2023-06-09,NULL,886,Cancelled,49.55
104,18,1541,2021-11-28,2021-12-16,2021-12-23,886,Received,199.15
105,120,337,2019-03-17,2019-05-01,2019-04-30,105,Received,98.96
106,220,1349,2022-12-13,2023-01-02,NULL,923,Ordered,100.34
107,122,570,2017-08-27,2017-10-09,2017-10-09,224,Received,100.02
108,227,1922,2020-11-20,2021-01-02,2021-01-06,1244,Received,57.72
109,143,628,2021-01-28,2021-03-03,2021-03-07,2267,Delayed,5.44
110,114,1472,2026-01-29,2026-03-11,NULL,425,Pending,23.1
111,229,1560,2025-04-19,2025-06-02,2025-06-11,1405,Received,24.81
112,48,1793,2019-03-05,2019-04-05,NULL,741,Ordered,72.51
113,48,601,2021-07-18,2021-08-16,2021-08-14,340,Received,16.34
114,171,1384,2018-04-29,2018-05-30,2018-06-04,408,Received,95.07
115,27,114,2025-08-31,2025-09-28,2025-09-27,165,Received,58.88
116,48,1418,2025-03-31,2025-05-10,2025-05-15,163,Received,43.6
117,1,442,2019-07-11,2019-08-07,NULL,888,Pending,112.47
118,105,171,2022-12-06,2022-12-21,NULL,1758,Pending,33.32
119,220,149,2022-08-18,2022-10-01,2022-10-03,499,Received,97.56
120,234,789,2018-01-25,2018-03-06,2018-03-14,1335,Received,142.89
121,171,1075,2024-03-01,2024-03-29,2024-03-30,159,Received,36.81
122,226,1574,2021-12-07,2022-01-14,2022-01-21,438,Received,108.97
123,63,63,2024-04-29,2024-06-11,2024-06-17,1813,Delayed,35.18
124,59,1294,2021-11-04,2021-11-19,2021-11-22,572,Received,109.91
125,175,682,2016-07-18,2016-08-12,2016-08-15,565,Received,39.21
126,91,1911,2019-10-13,2019-11-16,2019-11-19,963,Received,217.75
127,56,1467,2016-09-25,2016-10-25,NULL,1204,Pending,75.7
128,13,529,2025-10-30,2025-11-16,NULL,765,Cancelled,36.34
129,220,441,2025-04-29,2025-05-17,NULL,872,Ordered,27.38
130,48,345,2024-11-09,2024-11-24,2024-11-24,736,Delayed,103.79
131,230,1527,2019-08-13,2019-09-05,2019-09-09,1255,Received,96.45
132,165,1170,2017-02-12,2017-03-11,2017-03-12,887,Received,38.23
133,99,843,2025-04-27,2025-05-18,NULL,418,Ordered,81.22
134,52,1537,2026-01-04,2026-01-24,2026-01-25,484,Received,18.67
135,180,1091,2017-05-24,2017-07-02,2017-07-02,1384,Delayed,68.89
136,6,638,2021-05-26,2021-06-24,2021-07-03,2659,Received,26.5
137,33,1087,2017-03-25,2017-04-15,NULL,836,Ordered,14.98
138,193,1863,2024-02-23,2024-03-30,2024-04-06,1136,Received,44.16
139,123,541,2024-03-13,2024-04-17,2024-04-20,1364,Received,135.47
140,202,750,2017-10-28,2017-12-08,2017-12-15,570,Delayed,72.98
141,17,1208,2021-04-17,2021-05-10,2021-05-18,766,Received,26.07
142,15,743,2022-01-14,2022-02-14,2022-02-19,1052,Received,43.15
143,33,550,2019-03-11,2019-04-21,NULL,3140,Pending,81.51
144,167,453,2025-04-06,2025-05-05,NULL,4192,Pending,114.54
145,99,1851,2020-10-08,2020-11-06,NULL,784,Ordered,80.25
146,222,1871,2018-08-28,2018-10-05,2018-10-09,472,Received,165.43
147,238,1239,2021-12-07,2022-01-21,2022-01-30,1345,Received,43.81
148,223,1785,2023-11-03,2023-12-04,2023-12-09,275,Received,106.4
149,197,736,2018-07-20,2018-08-18,NULL,876,Ordered,98.2
150,39,1346,2019-08-28,2019-09-26,NULL,602,Ordered,28.68
151,102,333,2026-06-29,2026-08-10,NULL,1107,Ordered,27.07
152,17,972,2023-01-15,2023-02-23,NULL,695,Ordered,66.31
153,138,360,2020-12-02,2021-01-08,2021-01-13,863,Received,80.54
154,224,1777,2021-09-18,2021-10-23,2021-10-27,1229,Received,24.45
155,139,1761,2017-10-01,2017-10-29,2017-10-29,1197,Received,38.51
156,163,1736,2018-10-14,2018-11-08,2018-11-16,1307,Received,61.65
157,148,1554,2019-12-03,2020-01-04,NULL,2926,Cancelled,103.0
158,184,1353,2022-06-04,2022-07-02,2022-07-03,2387,Received,44.84
159,55,1247,2018-11-03,2018-11-25,2018-11-22,358,Received,162.27
160,76,1701,2018-09-28,2018-11-12,2018-11-09,580,Received,120.25
161,247,1024,2017-04-01,2017-05-15,2017-05-14,617,Received,236.53
162,14,1102,2022-11-07,2022-12-21,2022-12-19,175,Received,13.92
163,137,273,2018-10-30,2018-11-16,2018-11-25,722,Received,72.09
164,137,899,2025-08-05,2025-08-24,NULL,952,Cancelled,142.68
165,92,1497,2025-02-19,2025-03-19,NULL,1006,Ordered,106.66
166,238,1231,2017-03-31,2017-05-03,NULL,1450,Pending,4.71
167,137,217,2018-12-02,2018-12-19,2018-12-27,525,Received,229.74
168,32,1535,2023-03-25,2023-04-21,2023-04-19,455,Received,123.88
169,27,702,2018-09-06,2018-09-24,2018-09-27,708,Received,37.78
170,73,1894,2017-11-11,2017-12-25,2017-12-25,1358,Received,45.1
171,187,413,2025-11-23,2026-01-05,2026-01-05,1380,Received,228.01
172,238,827,2022-04-02,2022-04-28,2022-05-03,810,Received,44.78
173,99,847,2021-04-07,2021-05-08,NULL,269,Pending,78.32
174,212,118,2024-05-21,2024-06-23,2024-07-03,691,Received,41.28
175,215,824,2024-08-12,2024-09-23,2024-10-01,512,Received,48.2
176,199,148,2018-06-11,2018-07-12,2018-07-16,712,Received,81.16
177,155,792,2017-07-05,2017-07-21,NULL,1336,Pending,81.89
178,61,1127,2020-11-06,2020-12-06,2020-12-06,956,Received,117.25
179,181,1995,2020-10-10,2020-10-25,NULL,651,Cancelled,51.69
180,60,578,2021-03-18,2021-04-03,NULL,2325,Ordered,25.2
181,28,1873,2023-10-31,2023-12-12,2023-12-11,1985,Delayed,42.75
182,1,1930,2023-04-10,2023-05-25,2023-05-29,441,Delayed,56.47
183,99,796,2026-05-20,2026-06-23,NULL,437,Ordered,56.94
184,122,1846,2017-07-10,2017-08-19,NULL,510,Ordered,92.73
185,131,1077,2020-07-25,2020-08-10,2020-08-12,337,Received,68.73
186,100,1454,2019-12-07,2020-01-15,NULL,509,Pending,55.25
187,86,640,2025-02-26,2025-04-10,2025-04-10,737,Received,38.8
188,1,162,2019-01-10,2019-02-24,2019-03-05,373,Received,39.27
189,74,874,2018-06-10,2018-07-02,2018-07-06,2185,Delayed,21.89
190,70,1139,2021-01-09,2021-01-30,2021-02-06,2460,Received,43.94
191,242,112,2020-10-04,2020-10-28,2020-10-25,581,Received,49.5
192,243,1925,2019-04-29,2019-05-27,NULL,1045,Cancelled,167.48
193,144,81,2019-01-14,2019-02-04,2019-02-03,697,Received,47.0
194,21,1365,2025-10-09,2025-11-09,2025-11-13,599,Received,97.5
195,208,348,2020-12-20,2021-02-01,2021-02-04,4663,Received,28.42
196,229,1560,2025-02-25,2025-03-19,NULL,949,Pending,24.88
197,79,595,2022-01-16,2022-02-20,2022-02-25,105,Delayed,46.76
198,47,580,2017-01-16,2017-02-17,NULL,693,Ordered,49.08
199,21,1943,2026-07-14,2026-08-28,NULL,1091,Pending,76.35
200,99,1299,2024-11-25,2024-12-31,2025-01-09,566,Received,117.69
201,142,961,2026-03-25,2026-04-28,NULL,589,Pending,45.55
202,232,800,2025-10-21,2025-11-28,2025-12-07,751,Received,180.63
203,215,752,2025-01-10,2025-02-23,NULL,495,Ordered,104.99
204,127,468,2018-03-15,2018-04-07,2018-04-04,1308,Received,34.13
205,106,462,2021-05-25,2021-06-29,NULL,550,Pending,120.58
206,13,717,2018-09-04,2018-09-24,2018-09-28,247,Received,79.67
207,69,927,2020-07-20,2020-08-29,NULL,176,Pending,18.72
208,53,1046,2017-02-15,2017-03-31,NULL,2752,Ordered,16.17
209,14,770,2020-04-30,2020-06-08,2020-06-18,790,Received,38.41
210,99,371,2026-05-24,2026-07-01,2026-07-08,877,Delayed,115.41
211,216,1813,2019-03-11,2019-04-25,NULL,480,Pending,42.88
212,181,568,2024-05-19,2024-06-17,2024-06-18,285,Received,53.02
213,137,899,2021-02-02,2021-03-15,2021-03-24,305,Delayed,150.32
214,66,1125,2020-10-08,2020-11-19,2020-11-20,147,Received,21.63
215,86,1885,2026-02-11,2026-03-17,NULL,483,Ordered,85.06
216,237,35,2026-06-30,2026-08-10,2026-08-15,1496,Received,112.62
217,48,1426,2022-02-05,2022-03-02,2022-02-28,491,Received,51.62
218,142,502,2023-09-22,2023-10-21,2023-10-27,1044,Received,80.39
219,200,294,2018-02-01,2018-03-03,2018-03-10,1052,Received,94.65
220,18,46,2019-07-04,2019-08-05,NULL,1004,Ordered,232.74
221,151,1262,2026-03-24,2026-04-29,NULL,968,Cancelled,165.4
222,160,1389,2022-05-01,2022-05-31,2022-06-01,887,Received,95.02
223,86,987,2021-12-17,2022-01-30,2022-02-02,688,Received,46.54
224,234,1273,2024-01-08,2024-02-09,NULL,1448,Cancelled,230.68
225,237,424,2017-02-09,2017-03-20,2017-03-26,200,Received,244.75
226,158,964,2022-05-20,2022-07-04,NULL,1142,Pending,29.42
227,222,1183,2021-07-26,2021-08-31,2021-08-31,1488,Received,152.44
228,27,214,2025-01-24,2025-02-15,2025-02-22,416,Received,98.66
229,224,1777,2018-02-11,2018-03-25,2018-03-27,569,Received,25.6
230,214,263,2026-02-23,2026-03-27,2026-03-30,235,Received,49.77
231,184,1353,2017-05-04,2017-06-10,2017-06-11,1252,Received,48.69
232,9,895,2018-05-25,2018-07-08,2018-07-09,446,Delayed,33.02
233,8,886,2022-06-28,2022-07-19,2022-07-17,562,Received,126.89
234,18,1945,2023-04-17,2023-05-26,2023-06-04,284,Delayed,82.61
235,102,646,2018-11-22,2018-12-31,2019-01-05,1709,Received,7.3
236,212,178,2017-09-26,2017-10-26,2017-11-05,860,Received,5.97
237,228,105,2025-06-11,2025-07-01,NULL,734,Ordered,17.5
238,94,530,2019-01-01,2019-02-04,2019-02-04,750,Delayed,84.5
239,52,296,2022-06-26,2022-08-08,2022-08-09,219,Delayed,87.15
240,219,1153,2022-09-25,2022-10-17,2022-10-14,2217,Received,46.5
241,98,1056,2020-09-24,2020-10-15,2020-10-20,1029,Received,60.94
242,181,1948,2022-05-18,2022-06-24,NULL,1206,Ordered,77.17
243,64,1974,2021-10-07,2021-11-16,2021-11-24,949,Received,75.37
244,71,1791,2025-11-20,2025-12-10,NULL,672,Pending,37.64
245,91,411,2018-08-01,2018-08-17,NULL,1010,Ordered,99.82
246,75,1928,2023-09-14,2023-10-13,NULL,3509,Pending,75.03
247,107,1814,2018-12-04,2019-01-09,2019-01-10,700,Received,46.78
248,26,1833,2020-06-30,2020-08-12,2020-08-12,1322,Received,102.07
249,99,847,2023-04-04,2023-04-19,2023-04-21,228,Received,79.73
250,149,1326,2019-07-16,2019-08-12,2019-08-21,2601,Received,24.07
251,146,1404,2019-09-13,2019-10-10,NULL,402,Pending,127.18
252,181,1802,2024-01-22,2024-02-05,2024-02-04,1206,Received,6.03
253,8,1783,2017-04-06,2017-05-06,NULL,152,Ordered,29.84
254,147,271,2021-02-14,2021-03-08,2021-03-17,702,Received,20.67
255,176,837,2026-07-11,2026-08-14,2026-08-15,859,Received,94.21
256,94,1425,2026-07-02,2026-08-11,2026-08-19,559,Received,69.35
257,29,866,2017-04-09,2017-05-16,2017-05-14,1107,Received,11.51
258,161,1185,2018-09-02,2018-09-18,NULL,2898,Ordered,39.31
259,110,859,2019-03-11,2019-04-13,2019-04-10,2161,Received,21.39
260,98,1584,2025-11-15,2025-12-24,2025-12-22,1008,Received,74.65
261,16,1836,2025-05-07,2025-05-25,NULL,403,Pending,6.36
262,67,1923,2025-05-01,2025-05-19,2025-05-25,4992,Received,139.28
263,86,726,2020-03-26,2020-04-29,2020-05-05,564,Received,71.45
264,133,1317,2018-02-12,2018-03-25,2018-04-02,770,Received,49.12
265,25,889,2024-11-16,2024-12-13,2024-12-13,4215,Received,83.63
266,122,1983,2023-07-30,2023-09-07,2023-09-05,420,Received,85.72
267,205,246,2022-08-28,2022-09-27,2022-09-26,1071,Received,35.68
268,27,596,2026-05-31,2026-06-18,2026-06-16,198,Received,17.42
269,177,159,2023-01-29,2023-03-07,NULL,1301,Pending,183.27
270,43,611,2016-08-13,2016-09-17,NULL,2925,Ordered,47.19
271,212,178,2024-09-16,2024-10-27,NULL,689,Pending,6.02
272,147,271,2019-07-14,2019-08-16,2019-08-22,258,Received,20.1
273,76,1701,2023-03-05,2023-04-18,2023-04-16,669,Received,117.58
274,86,517,2025-12-05,2026-01-11,2026-01-12,926,Received,81.51
275,154,464,2017-11-18,2017-12-29,NULL,1373,Pending,111.08
276,65,942,2017-09-10,2017-09-25,2017-10-02,2690,Received,143.7
277,117,947,2017-08-11,2017-08-26,2017-09-03,3283,Received,44.8
278,122,1532,2022-01-26,2022-03-03,2022-03-13,773,Received,46.09
279,215,482,2019-04-06,2019-05-15,2019-05-23,131,Received,16.11
280,157,1042,2022-08-03,2022-08-22,NULL,3939,Ordered,121.35
281,50,1320,2023-09-19,2023-11-01,2023-11-03,3157,Received,128.4
282,181,568,2018-07-29,2018-08-17,NULL,1365,Pending,48.77
283,158,168,2022-11-18,2022-12-05,NULL,2911,Ordered,44.75
284,96,128,2019-03-07,2019-04-17,2019-04-21,541,Received,71.7
285,91,189,2021-06-04,2021-06-25,2021-06-23,1489,Received,225.24
286,14,161,2025-08-05,2025-09-19,2025-09-20,504,Received,38.55
287,13,1068,2024-12-31,2025-01-17,2025-01-18,885,Received,84.24
288,69,1556,2017-06-18,2017-07-10,NULL,222,Ordered,76.52
289,246,556,2020-10-10,2020-10-24,2020-10-27,878,Received,46.04
290,98,1584,2019-04-22,2019-05-20,2019-05-30,825,Received,75.98
291,247,1024,2016-07-28,2016-08-15,2016-08-23,138,Received,215.67
292,13,1884,2024-04-01,2024-05-14,2024-05-24,539,Delayed,112.06
293,197,235,2022-11-29,2023-01-07,NULL,217,Ordered,70.87
294,143,628,2019-02-27,2019-04-07,2019-04-09,2731,Received,5.2
295,86,574,2023-12-14,2024-01-26,NULL,190,Pending,71.59
296,55,1247,2022-01-21,2022-03-03,NULL,1306,Pending,157.27
297,114,1853,2020-10-25,2020-12-03,2020-12-06,795,Received,103.09
298,129,1381,2016-08-20,2016-09-17,2016-09-16,1396,Received,45.38
299,94,530,2017-04-16,2017-05-07,2017-05-07,457,Received,86.65
300,210,1787,2025-05-15,2025-06-20,NULL,934,Ordered,100.68
301,144,144,2025-07-31,2025-08-23,2025-08-22,455,Received,16.4
302,147,1214,2021-12-30,2022-01-22,NULL,281,Ordered,34.09
303,37,1951,2024-11-19,2025-01-03,2025-01-09,1019,Received,29.22
304,197,1672,2022-05-13,2022-06-16,NULL,254,Pending,42.08
305,175,1130,2018-01-07,2018-02-18,2018-02-22,915,Received,61.23
306,34,277,2017-10-24,2017-11-24,2017-11-26,3042,Received,118.75
307,214,805,2019-08-16,2019-09-28,2019-09-25,393,Received,13.96
308,239,1489,2025-07-12,2025-07-30,2025-08-09,708,Received,74.46
309,66,3,2024-07-02,2024-08-09,2024-08-14,856,Received,68.57
310,56,685,2025-02-23,2025-03-11,2025-03-20,485,Received,161.75
311,106,225,2025-07-12,2025-08-15,2025-08-20,163,Received,46.91
312,66,1203,2018-08-22,2018-10-03,2018-10-13,831,Received,43.13
313,228,105,2019-01-13,2019-02-01,2019-01-31,824,Received,16.74
314,249,274,2017-07-26,2017-09-06,NULL,1800,Cancelled,30.52
315,47,1770,2024-05-04,2024-06-10,2024-06-11,893,Received,91.25
316,212,501,2025-05-19,2025-06-23,NULL,1392,Ordered,68.05
317,1,1573,2020-08-08,2020-09-12,2020-09-10,495,Received,105.39
318,1,205,2022-09-30,2022-11-01,2022-11-11,717,Received,41.13
319,20,1572,2018-01-31,2018-02-23,2018-03-01,816,Received,98.22
320,211,898,2025-11-02,2025-12-05,2025-12-13,364,Delayed,52.52
321,209,1749,2025-03-09,2025-03-28,2025-03-31,772,Received,110.05
322,6,1533,2026-04-21,2026-05-13,NULL,2356,Ordered,15.27
323,214,263,2024-08-24,2024-09-12,2024-09-15,118,Received,51.48
324,210,1635,2025-05-09,2025-06-15,2025-06-15,884,Received,56.81
325,250,1358,2016-10-14,2016-11-28,2016-11-27,705,Received,12.73
326,151,689,2023-11-27,2023-12-17,2023-12-22,1178,Received,177.96
327,244,634,2019-11-11,2019-11-27,NULL,732,Ordered,11.39
328,204,893,2025-11-06,2025-11-28,2025-11-27,951,Received,26.04
329,87,1408,2024-07-24,2024-08-17,NULL,846,Ordered,86.39
330,204,935,2025-03-07,2025-04-05,2025-04-11,866,Delayed,61.77
331,234,1273,2024-08-24,2024-10-05,2024-10-05,1060,Received,231.01
332,89,1597,2019-03-17,2019-04-12,2019-04-18,1045,Received,98.96
333,1,531,2024-05-31,2024-07-02,NULL,528,Ordered,28.03
334,177,925,2017-08-14,2017-09-07,NULL,383,Pending,123.54
335,102,646,2025-04-06,2025-05-06,2025-05-10,2471,Received,7.87
336,48,175,2025-02-15,2025-03-07,NULL,227,Ordered,36.92
337,123,678,2018-10-06,2018-11-07,2018-11-06,4705,Received,16.62
338,122,1760,2024-09-14,2024-10-07,NULL,327,Pending,53.76
339,206,1769,2021-02-21,2021-04-04,NULL,524,Pending,105.79
340,29,1984,2019-08-04,2019-08-21,2019-08-23,534,Received,27.38
341,154,1771,2024-06-29,2024-08-05,2024-08-07,1431,Received,208.32
342,175,164,2018-10-25,2018-11-29,NULL,393,Ordered,108.53
343,25,179,2016-10-10,2016-11-23,NULL,4342,Ordered,69.25
344,215,76,2018-06-21,2018-08-02,2018-07-31,320,Received,42.39
345,77,1493,2019-10-28,2019-11-20,2019-11-28,966,Received,91.36
346,172,1430,2025-03-08,2025-03-29,NULL,1498,Ordered,124.35
347,98,195,2026-03-18,2026-04-04,2026-04-11,1036,Received,68.64
348,16,1264,2019-05-01,2019-05-19,2019-05-23,133,Received,97.49
349,66,1310,2022-12-15,2023-01-13,NULL,101,Ordered,29.52
350,87,1442,2020-07-15,2020-08-20,2020-08-23,1468,Received,95.04
351,228,1880,2026-05-09,2026-05-28,2026-05-30,638,Received,111.36
352,228,1772,2021-11-25,2021-12-10,2021-12-14,496,Received,12.91
353,209,1749,2025-12-07,2026-01-13,2026-01-10,238,Received,106.94
354,108,165,2017-09-10,2017-10-16,2017-10-23,3223,Received,43.25
355,147,236,2026-03-30,2026-04-21,2026-04-26,758,Received,11.87
356,185,984,2018-04-29,2018-05-24,NULL,1080,Pending,81.26
357,9,1960,2026-03-02,2026-03-27,NULL,894,Pending,105.09
358,52,324,2019-03-12,2019-04-24,2019-04-24,304,Received,55.7
359,149,1849,2017-08-15,2017-08-31,2017-09-01,2424,Received,42.77
360,244,1438,2020-11-19,2021-01-02,2021-01-11,392,Received,23.93
361,179,1143,2023-10-29,2023-12-04,NULL,1442,Pending,26.28
362,74,1728,2019-09-04,2019-10-09,2019-10-18,1838,Received,48.86
363,144,848,2022-08-08,2022-09-19,NULL,482,Pending,78.29
364,60,981,2021-08-27,2021-10-11,NULL,2326,Ordered,9.84
365,69,1934,2020-05-23,2020-06-23,NULL,180,Pending,101.54
366,188,1458,2022-04-22,2022-06-02,2022-06-12,701,Received,47.15
367,66,1203,2019-02-01,2019-03-07,2019-03-09,413,Received,44.53
368,154,1691,2023-08-18,2023-09-29,2023-10-02,1009,Received,165.24
369,80,244,2016-07-22,2016-08-27,2016-09-04,822,Received,98.9
370,244,229,2025-10-18,2025-11-28,2025-12-07,176,Received,19.82
371,209,904,2021-12-03,2022-01-11,2022-01-20,427,Received,128.65
372,228,896,2023-09-26,2023-10-11,2023-10-17,548,Received,103.81
373,206,1844,2023-12-17,2024-01-02,2024-01-02,475,Received,53.51
374,170,1577,2023-03-31,2023-05-07,2023-05-13,414,Received,68.99
375,209,384,2020-03-07,2020-04-18,2020-04-20,257,Delayed,204.44
376,152,330,2017-03-28,2017-04-19,2017-04-22,670,Received,51.41
377,210,1455,2023-03-08,2023-04-06,2023-04-03,611,Delayed,99.99
378,9,1500,2019-11-04,2019-12-12,2019-12-10,366,Delayed,68.39
379,32,443,2019-09-05,2019-10-17,2019-10-23,1105,Received,39.22
